"FonctionId","terme"
"2","Animation"
"3","Assistant réalisation"
"4","Chef électricien"
"5","Chef machiniste"
"6","Coiffure"
"7","Conception sonore"
"8","Costumes"
"9","Décors"
"10","Direction artistique"
"11","Direction de production"
"12","Effets spéciaux"
"13","Générique additionnel"
"14","Images"
"15","Interprétation"
"16","Interprète musique"
"17","Maquillage"
"18","Mixage"
"19","Montage images"
"20","Montage sonore"
"21","Musique"
"22","Narration"
"23","Narrateur"
"24","Participant"
"25","Personnage"
"26","Photographe de plateau"
"27","Prise de son"
"28","Producteur"
"29","Producteur délégué"
"30","Régie"
"31","Scénario"
"32","Scripte"
"33","Source originale"
"34","Société de production"
"35","Animateur d'émission"
"36","Journaliste"
"37","Financement"
"38","Recherche"
"39","Société de distribution"
"40","Société d'exportation"
"41","Laboratoire"
"42","Maison de services"
"43","Télédiffuseur"
"44","Conception"
"45","Création"
"47","Chroniqueur"
"48","Producteur exécutif"
"49","Diffuseur Web"
