"role","roleLabel","year","count"
"http://data.cinematheque.qc.ca/resource/Role1","Réalisation","1886","1"
"http://data.cinematheque.qc.ca/resource/Role1","Réalisation","1892","2"
"http://data.cinematheque.qc.ca/resource/Role34","Société de production","1893","1"
"http://data.cinematheque.qc.ca/resource/Role15","Interprétation","1894","5"
"http://data.cinematheque.qc.ca/resource/Role28","Producteur","1894","1"
"http://data.cinematheque.qc.ca/resource/Role1","Réalisation","1894","1"
"http://data.cinematheque.qc.ca/resource/Role34","Société de production","1894","4"
"http://data.cinematheque.qc.ca/resource/Role13","Générique additionnel","1895","13"
"http://data.cinematheque.qc.ca/resource/Role14","Images","1895","3"
"http://data.cinematheque.qc.ca/resource/Role15","Interprétation","1895","9"
"http://data.cinematheque.qc.ca/resource/Role24","Participant","1895","2"
"http://data.cinematheque.qc.ca/resource/Role1","Réalisation","1895","25"
"http://data.cinematheque.qc.ca/resource/Role34","Société de production","1895","3"
"http://data.cinematheque.qc.ca/resource/Role13","Générique additionnel","1896","2"
"http://data.cinematheque.qc.ca/resource/Role14","Images","1896","10"
"http://data.cinematheque.qc.ca/resource/Role15","Interprétation","1896","2"
"http://data.cinematheque.qc.ca/resource/Role1","Réalisation","1896","23"
"http://data.cinematheque.qc.ca/resource/Role34","Société de production","1896","18"
"http://data.cinematheque.qc.ca/resource/Role14","Images","1897","1"
"http://data.cinematheque.qc.ca/resource/Role1","Réalisation","1897","13"
"http://data.cinematheque.qc.ca/resource/Role31","Scénario","1897","1"
"http://data.cinematheque.qc.ca/resource/Role34","Société de production","1897","7"
"http://data.cinematheque.qc.ca/resource/Role13","Générique additionnel","1898","1"
"http://data.cinematheque.qc.ca/resource/Role14","Images","1898","2"
"http://data.cinematheque.qc.ca/resource/Role15","Interprétation","1898","1"
"http://data.cinematheque.qc.ca/resource/Role28","Producteur","1898","2"
"http://data.cinematheque.qc.ca/resource/Role1","Réalisation","1898","12"
"http://data.cinematheque.qc.ca/resource/Role39","Société de distribution","1898","11"
"http://data.cinematheque.qc.ca/resource/Role34","Société de production","1898","15"
"http://data.cinematheque.qc.ca/resource/Role13","Générique additionnel","1899","1"
"http://data.cinematheque.qc.ca/resource/Role14","Images","1899","1"
"http://data.cinematheque.qc.ca/resource/Role28","Producteur","1899","1"
